No.,Spacecraft - ISS flight number,Country,Mission,Launcher,Launch date (UTC),Launch time (UTC),Duration (Docked),Deorbit
1,Zarya - ISS-1A/R,Russia/United States,Cargo storage,Proton-K,19981120, 06:40,First module of ISS,First module of ISS
2,Zvezda - ISS-1R,Russia,Service module,Proton-K,20000712, 04:56,attached to ISS,attached to ISS
3,Progress M1-3 - ISS-1P,Russia,Logistics,Soyuz-U,20000806, 18:26,"84 days, 7 h, 51 min",01-Nov-00
4,Progress M1-4[4] - ISS-2P,Russia,Logistics,Soyuz-U,20001116, 01:32,"13 days, 12 h, 35 min",08-Feb-01
4,Progress M1-4[4] - ISS-2P,Russia,Logistics,Soyuz-U,20001116, 01:32,"44 days, 23 min",08-Feb-01
5,Progress M-44 - ISS-3P,Russia,Logistics,Soyuz-U,20010226, 08:09,"46 days, 22 h, 58 min",16-Apr-01
6,Progress M1-6 - ISS-4P,Russia,Logistics,Soyuz-FG,20010520, 22:32,"91 days, 5 h, 38 min",22-Aug-01
7,Progress M-45 - ISS-5P,Russia,Logistics,Soyuz-U,20010821, 09:24,"91 days, 6 h, 21 min",22-Nov-01
8,Pirs - ISS-4R,Russia,Docking module Airlock,Soyuz-U,20010914, 23:35,attached to ISS,attached to ISS
8,Progress M-SO1 - ISS-4R,Russia,Delivered Pirs,Soyuz-U,20010914, 23:35,"9 days, 14 h, 31 min",26-Sep-01
9,Progress M1-7 - ISS-6P,Russia,Logistics,Soyuz-FG,20011126, 18:24,"110 days, 22 h",20-Mar-02
10,Progress M1-8 - ISS-7P,Russia,Logistics,Soyuz-U,20020321, 20:13,"92 days, 11 h, 29 min",25-Jun-02
11,Progress M-46 - ISS-8P,Russia,Logistics,Soyuz-U,20020626, 05:36,"87 days, 7 h, 36 min",14-Oct-02
12,Progress M1-9 - ISS-9P,Russia,Logistics,Soyuz-FG,20020925, 16:58,"124 days, 23 h",01-Feb-03
13,Progress M-47 - ISS-10P,Russia,Logistics,Soyuz-U,20030202, 12:59,"205 days, 7 h, 59 min",28-Aug-03
14,Progress M1-10 - ISS-11P,Russia,Logistics,Soyuz-U,20030608, 10:34,"85 days, 8 h, 26 min",03-Oct-03
15,Progress M-48 - ISS-12P,Russia,Logistics,Soyuz-U,20030829, 01:48,"150 days, 4 h, 55 min",28-Jan-04
16,Progress M1-11 - ISS-13P,Russia,Logistics,Soyuz-U,20040129, 11:58,"113 days, 20 h, 6 min",03-Jun-04
17,Progress M-49 - ISS-14P,Russia,Logistics,Soyuz-U,20040525, 12:34,"63 days, 16 h, 11 min",30-Jul-04
18,Progress M-50 - ISS-15P,Russia,Logistics,Soyuz-U,20040811, 05:03,"130 days, 13 h, 34 min",22-Dec-04
19,Progress M-51 - ISS-16P,Russia,Logistics,Soyuz-U,20041223, 22:19,"63 days, 16 h, 9 min",09-Mar-05
20,Progress M-52 - ISS-17P,Russia,Logistics,Soyuz-U,20050228, 19:09,"106 days, 1 h, 5 min",16-Jun-05
21,Progress M-53 - ISS-18P,Russia,Logistics,Soyuz-U,20050616, 23:09,"80 days, 5 h, 41 min",07-Sep-05
