"","ISS flight","Mission","Crew","Crew photo","Crew patch","Notes"
"1.","2A","STS-88 Endeavour Launch: December 4, 1998 Time docked: 6 days 18h","Robert D. Cabana Frederick W. Sturckow Nancy J. Currie Jerry L. Ross James H. Newman Sergei Krikalev","","","Deliver Unity Module 3 spacewalks"
"2.","2A.1","STS-96 Discovery Launch: May 27, 1999 Time docked: 5 days 18h","Kent V. Rominger Rick D. Husband Tamara E. Jernigan Ellen L. Ochoa Daniel T. Barry Julie Payette Valery Tokarev","","","1 spacewalk"
"3.","2A.2a","STS-101 Atlantis Launch: May 19, 2000 Time docked: 5 days 18h","James D. Halsell Scott J. Horowitz Mary E. Weber Jeffrey N. Williams James S. Voss Susan J. Helms Yury Usachev","","","Boost orbit ~30 km 1 spacewalk"
"4.","2A.2b","STS-106 Atlantis Launch: September 8, 2000 Time docked: 7 days 21h","Terrence W. Wilcutt Scott D. Altman Edward T. Lu Richard A. Mastracchio Daniel C. Burbank Yuri Malenchenko Boris Morukov","","","1 spacewalk"
"5.","3A","STS-92 Discovery Launch: October 11, 2000 Time docked: 6 days 21h","Brian Duffy Pamela A. Melroy Leroy Chiao William S. McArthur Peter J. K. Wisoff Michael E. Lopez-Alegria Koichi Wakata","","","Deliver Z1 Truss 4 spacewalks"
"6.","2R","Soyuz TM-31 Launch: October 31, 2000 Time docked: ~183 days","Yuri Gidzenko Sergei Krikalev William M. Shepherd","","","Deliver Expedition 1 crew"
"7.","4A","STS-97 Endeavour Launch: November 30, 2000 Time docked: 6 days 23h","Brent W. Jett Michael J. Bloomfield Joseph R. Tanner Carlos I. Noriega Marc Garneau","","","Deliver P6 Truss 3 spacewalks"
"8.","5A","STS-98 Atlantis Launch: February 7, 2001 Time docked: 6 days 21h","Kenneth D. Cockrell Mark L. Polansky Robert L. Curbeam Marsha S. Ivins Thomas D. Jones","","","Deliver Destiny Laboratory 3 spacewalks"
"9.","5A.1","STS-102 Discovery Launch: March 8, 2001 Time docked: 8 days 21h","James D. Wetherbee James M. Kelly Paul W. Richards Andrew S. W. Thomas Yury Usachev James S. Voss Susan J. Helms","","","Deliver Expedition 2 crew Return Expedition 1 crew Use MPLM 2 spacewalks"
"10.","6A","STS-100 Endeavour Launch: April 19, 2001 Time docked: 8 days 3h","Kent V. Rominger Jeffrey S. Ashby John L. Phillips Scott E. Parazynski Chris A. Hadfield Umberto Guidoni Yuri Lonchakov","","","Use MPLM Deliver Canadarm2 2 spacewalks"
"11.","2S","Soyuz TM-32 Launch: April 28, 2001 Time docked: ~183 days","Talgat Musabayev Yuri Baturin Dennis A. Tito","","","All three crew returned on Soyuz TM-31 after a week"
"12.","7A","STS-104 Atlantis Launch: July 12, 2001 Time docked: 8 days 1h","Steven W. Lindsey Charles O. Hobaugh Michael L. Gernhardt Janet L. Kavandi James F. Reilly","","","Deliver Quest Joint Airlock 3 spacewalks"
"13.","7A.1","STS-105 Discovery Launch: August 10, 2001 Time docked: 9 days 20h","Scott J. Horowitz Frederick W. Sturckow Daniel T. Barry Patrick G. Forrester Frank L. Culbertson Mikhail Tyurin Vladimir Dezhurov","","","Deliver Expedition 3 crew Return Expedition 2 crew Use MPLM 2 spacewalks"
"14.","3S","Soyuz TM-33 Launch: October 21, 2001 Time docked: ~193 days","Viktor Afanasyev Konstantin Kozeyev Claudie Haigneré","","","All three crew members returned on Soyuz TM-32 after 9 days 18 hours."
"15.","UF-1","STS-108 Endeavour Launch: December 5, 2001 Time docked: 7 days 21h","Dominic L. Pudwill Gorie Mark E. Kelly Linda M. Godwin Daniel M. Tani Yuri Onufrienko Carl E. Walz Daniel W. Bursch","","","Deliver Expedition 4 crew Return Expedition 3 crew Use MPLM 1 spacewalk"
"16.","8A","STS-110 Atlantis Launch: April 8, 2002 Time docked: 7 days 2h","Michael J. Bloomfield Stephen N. Frick Jerry L. Ross Steven L. Smith Ellen L. Ochoa Lee M. E. Morin Rex J. Walheim","","","Deliver S0 Truss 4 spacewalks"
"17.","4S","Soyuz TM-34 Launch: April 25, 2002 Time docked: ~196 days","Yuri Gidzenko Roberto Vittori Mark Shuttleworth","","","All three crew returned on Soyuz TM-33 after 8 days"
"18.","UF-2","STS-111 Endeavour Launch: June 5, 2002 Time docked: 7 days 22h","Kenneth D. Cockrell Paul S. Lockhart Franklin R. Chang-Diaz Philippe Perrin Valery Korzun Sergei Treshchev Peggy A. Whitson","","","Deliver Expedition 5 crew Return Expedition 4 crew Deliver Mobile Base System Use MPLM 3 spacewalks"
