"No.","Spacecraft - ISS flight number","Country","Mission","Launcher","Launch (UTC)","Docked/Berthed (UTC) †","Undocked/Unberthed (UTC)","Duration (Docked)","Deorbit"
"1","Zarya - ISS-1A/R","Russia/ United States","Cargo storage","Proton-K","20 Nov 1998, 06:40","Reached ISS orbit 25 Nov 1998","First module of ISS"
"2","Zvezda - ISS-1R","Russia","Service module","Proton-K","12 Jul 2000, 04:56","26 Jul 2000, 00:44","attached to ISS"
"3","Progress M1-3 - ISS-1P","Russia","Logistics","Soyuz-U","6 Aug 2000, 18:26","8 Aug 2000, 20:12","1 Nov 2000, 04:04","84 days, 7 h, 51 min","1 Nov 2000"
"4","Progress M1-4[4] - ISS-2P","Russia","Logistics","Soyuz-U","16 Nov 2000, 01:32","18 Nov 2000, 03:47","1 Dec 2000, 16:22","13 days, 12 h, 35 min","8 Feb 2001"
"26 Dec 2000, 11:03","8 Feb 2001, 11:26","44 days, 23 min"
"5","Progress M-44 - ISS-3P","Russia","Logistics","Soyuz-U","26 Feb 2001, 08:09","28 Feb 2001, 09:50","16 Apr 2001, 08:48","46 days, 22 h, 58 min","16 Apr 2001"
"6","Progress M1-6 - ISS-4P","Russia","Logistics","Soyuz-FG","20 May 2001, 22:32","23 May 2001, 00:24","22 Aug 2001, 06:02","91 days, 5 h, 38 min","22 Aug 2001"
"7","Progress M-45 - ISS-5P","Russia","Logistics","Soyuz-U","21 Aug 2001, 09:24","23 Aug 2001, 09:51","22 Nov 2001, 16:12","91 days, 6 h, 21 min","22 Nov 2001"
"8","Pirs - ISS-4R","Russia","Docking module Airlock","Soyuz-U","14 Sep 2001, 23:35","17 Sep 2001, 01:05","attached to ISS"
"Progress M-SO1 - ISS-4R","Delivered Pirs","26 Sep 2001,15:36","9 days, 14 h, 31 min","26 Sep 2001"
"9","Progress M1-7 - ISS-6P","Russia","Logistics","Soyuz-FG","26 Nov 2001, 18:24","28 Nov 2001, 19:43","19 Mar 2002, 17:43","110 days, 22 h","20 Mar 2002"
"10","Progress M1-8 - ISS-7P","Russia","Logistics","Soyuz-U","21 Mar 2002, 20:13","24 Mar 2002, 20:57","25 Jun 2002, 08:26","92 days, 11 h, 29 min","25 Jun 2002"
"11","Progress M-46 - ISS-8P","Russia","Logistics","Soyuz-U","26 Jun 2002, 05:36","29 Jun 2002, 06:23","24 Sep 2002, 13:59","87 days, 7 h, 36 min","14 Oct 2002"
"12","Progress M1-9 - ISS-9P","Russia","Logistics","Soyuz-FG","25 Sep 2002, 16:58","29 Sep 2002, 17:00","1 Feb 2003, 16:00","124 days, 23 h","1 Feb 2003"
"13","Progress M-47 - ISS-10P","Russia","Logistics","Soyuz-U","2 Feb 2003, 12:59","4 Feb 2003, 14:49","28 Aug 2003, 22:48","205 days, 7 h, 59 min","28 Aug 2003"
"14","Progress M1-10 - ISS-11P","Russia","Logistics","Soyuz-U","8 Jun 2003, 10:34","11 Jun 2003, 11:15","4 Sep 2003, 19:41","85 days, 8 h, 26 min","3 Oct 2003"
"15","Progress M-48 - ISS-12P","Russia","Logistics","Soyuz-U","29 Aug 2003, 01:48","31 Aug 2003, 03:40","28 Jan 2004, 08:35","150 days, 4 h, 55 min","28 Jan 2004"
"16","Progress M1-11 - ISS-13P","Russia","Logistics","Soyuz-U","29 Jan 2004, 11:58","31 Jan 2004, 13:13","24 May 2004, 09:19","113 days, 20 h, 6 min","3 Jun 2004"
"17","Progress M-49 - ISS-14P","Russia","Logistics","Soyuz-U","25 May 2004, 12:34","27 May 2004, 13:54","30 Jul 2004, 06:05","63 days, 16 h, 11 min","30 Jul 2004"
"18","Progress M-50 - ISS-15P","Russia","Logistics","Soyuz-U","11 Aug 2004, 05:03","14 Aug 2004, 05:03","22 Dec 2004, 18:37","130 days, 13 h, 34 min","22 Dec 2004"
"19","Progress M-51 - ISS-16P","Russia","Logistics","Soyuz-U","23 Dec 2004, 22:19","25 Dec 2004, 23:58","27 Feb 2005, 16:07","63 days, 16 h, 9 min","9 Mar 2005"
"20","Progress M-52 - ISS-17P","Russia","Logistics","Soyuz-U","28 Feb 2005, 19:09","2 Mar 2005, 19:10","16 Jun 2005, 20:15","106 days, 1 h, 5 min","16 Jun 2005"
"21","Progress M-53 - ISS-18P","Russia","Logistics","Soyuz-U","16 Jun 2005, 23:09","19 Jun 2005, 00:45","7 Sep 2005, 06:26","80 days, 5 h, 41 min","7 Sep 2005"
"22","Progress M-54 - ISS-19P","Russia","Logistics","Soyuz-U","8 Sep 2005, 09:08","10 Sep 2005, 10:42","3 Mar 2006, 10:06","173 days, 23 h, 24 min","3 Mar 2006"
"23","Progress M-55 - ISS-20P","Russia","Logistics","Soyuz-U","21 Dec 2005, 18:38","23 Dec 2005, 19:46","19 Jun 2006, 14:06","177 days, 18 h, 21 min","19 Jun 2006"
"24","Progress M-56 - ISS-21P","Russia","Logistics","Soyuz-U","24 Apr 2006, 16:03","26 Apr 2006, 16:12","19 Sep 2006, 00:28","145 days, 6 h, 47 min","19 Sep 2006"
"25","Progress M-57 - ISS-22P","Russia","Logistics","Soyuz-U","24 Jun 2006, 15:08","26 Jun 2006, 16:24","16 Jan 2007, 23:32","204 days, 7 h, 8 min","17 Jan 2007"
"26","Progress M-58 - ISS-23P","Russia","Logistics","Soyuz-U","23 Oct 2006, 13:41","26 Oct 2006, 14:28","27 Mar 2007, 18:00","152 days, 3 h, 32 min","27 Mar 2007"
"27","Progress M-59 - ISS-24P","Russia","Logistics","Soyuz-U","18 Jan 2007, 02:12","20 Jan 2007, 03:58","1 Aug 2007, 14:07","193 days, 10 h, 9 min","1 Aug 2007"
"28","Progress M-60 - ISS-25P","Russia","Logistics","Soyuz-U","12 May 2007, 03:25","15 May 2007, 05:10","19 Sep 2007, 00:37","126 days, 19 h, 27 min","25 Sep 2007"
"29","Progress M-61 - ISS-26P","Russia","Logistics","Soyuz-U","2 Aug 2007, 17:34","5 Aug 2007, 18:40","22 Dec 2007, 04:00","138 days, 9 h, 20 min","22 Jan 2008"
"30","Progress M-62 - ISS-27P","Russia","Logistics","Soyuz-U","23 Dec 2007, 07:12","26 Dec 2007, 08:14","4 February 2008, 10:32","40 days, 2 h, 18 min","15 Feb 2008"
"31","Progress M-63 - ISS-28P","Russia","Logistics","Soyuz-U","5 Feb 2008, 13:02","7 Feb 2008, 14:30","7 Apr 2008, 08:49","59 days, 18 h, 19 min","7 Apr 2008"
"32","Jules Verne - ATV-1","European Union","Logistics","Ariane 5ES","9 Mar 2008, 04:03","3 Apr 2008, 14:45","5 Sep 2008, 21:29","155 days, 6 h, 44 min","29 Sep 2008"
"33","Progress M-64 - ISS-29P","Russia","Logistics","Soyuz-U","14 May 2008, 20:22","16 May 2008, 21:39","1 Sep 2008, 19:47","107 days, 22 h, 8 min","8 Sep 2008"
"34","Progress M-65 - ISS-30P","Russia","Logistics","Soyuz-U","10 Sep 2008, 19:50","17 Sep 2008, 18:43","14 Nov 2008, 16:19","57 days, 21 h, 36 min","7 Dec 2008"
"35","Progress M-01M - ISS-31P","Russia","Logistics","Soyuz-U","26 Nov 2008, 12:38","30 Nov 2008, 12:28","6 Feb 2009, 04:10","67 days, 15 h, 42 min","8 Feb 2009"
"36","Progress M-66 - ISS-32P","Russia","Logistics","Soyuz-U","10 Feb 2009, 05:49:46","13 Feb 2009, 07:18","6 May 2009, 15:17","82 days, 7 h, 59 min","18 May 2009"
"37","Progress M-02M - ISS-33P","Russia","Logistics","Soyuz-U","7 May 2009, 18:37:09","12 May 2009, 19:24:23","30 Jun 2009, 18:29:43","53 days, 23 h, 52 min","13 Jul 2009"
"38","Progress M-67 - ISS-34P","Russia","Logistics","Soyuz-U","24 Jul 2009, 10:56:53","29 Jul 2009, 11:12","21 Sep 2009, 07:25","53 days, 20 h, 13 min","27 Sep 2009"
"39","HTV-1","Japan","Logistics","H-IIB","10 Sep 2009, 17:01:56","17 Sep 2009, 22:12","30 Oct 2009, 15:18","42 days, 17 h, 6 min","1 Nov 2009"
"40","Progress M-03M - ISS-35P","Russia","Logistics","Soyuz-U","15 Oct 2009, 01:14:37","18 Oct 2009, 01:40","22 Apr 2010, 16:32","186 days, 14 h, 52 min","27 Apr 2010"
