"Order","Launch date","Mission","Shuttle","Crew[a]","Duration","Landing site","Notes","Sources"
"1","12 April 1981 12:00:04 UTC 07:00:04 EST","STS-1","Columbia","2","02d 06h","Edwards","First reusable orbital spacecraft flight First flight of Columbia",""
"2","12 November 1981 15:10:00 UTC 10:10:00 EST","STS-2","Columbia","2","02d 06h","Edwards","First reuse of a manned orbital space vehicle First test of Canadarm robot arm Truncated due to fuel cell problem",""
"3","22 March 1982 16:00:00 UTC 11:00:00 EST","STS-3","Columbia","2","08d 00h","White Sands","Shuttle R&D flight First and only landing at White Sands, New Mexico",""
"4","27 June 1982 15:00:00 UTC 11:00:00 EDT","STS-4","Columbia","2","07d 01h","Edwards","Last shuttle R&D flight First Department of Defense (DoD) payload",""
"5","11 November 1982 12:19:00 UTC 07:19:00 EST","STS-5","Columbia","4","05d 02h","Edwards","Multiple comsat deployments First Extravehicular activity of program canceled due to suit problems",""
"6","4 April 1983 18:30:00 UTC 13:30:00 EST","STS-6","Challenger","4","05d 00h","Edwards","Tracking and data relay satellite (TDRS) deployment First flight of Challenger First Space Shuttle Extravehicular activity",""
"7","18 June 1983 11:33:00 UTC 07:33:00 EDT","STS-7","Challenger","5","06d 02h","Edwards","First US woman in space Sally Ride Multiple comsat deployments First deployment and retrieval of a Shuttle Pallet Satellite",""
"8","30 August 1983 06:32:00 UTC 02:32:00 EDT","STS-8","Challenger","5","06d 01h","Edwards","Comsat deployment First flight of an African American in space, Guion Bluford Test of robot arm on heavy payloads with Payload Flight Test Article First night landing",""
"9","28 November 1983 16:00:00 UTC 11:00:00 EST","STS-9","Columbia","6","10d 07h","Edwards","First Spacelab mission Flight of Ulf Merbold (first European Space Agency Astronaut on a shuttle mission)",""
"10","3 February 1984 13:00:00 UTC 08:00:00 EST","STS-41-B","Challenger","5","07d 23h","Kennedy","Deployed two Comsats First untethered spacewalk by Bruce McCandless II with Manned Maneuvering Unit First landing at Kennedy Space Center Dry run of equipment for Solar Max rescue",""
"11","6 April 1984 13:58:00 UTC 08:58:00 EST","STS-41-C","Challenger","5","06d 23h","Edwards","Solar Max servicing (first satellite rescue by astronauts) Long Duration Exposure Facility deployment",""
"12","30 August 1984 12:41:50 UTC 08:41:50 EDT","STS-41-D","Discovery","6","06d 00h","Edwards","Multiple comsat deployments First flight of Discovery Test of OAST-1 Solar Array",""
"13","5 October 1984 11:03:00 UTC 07:03:00 EDT","STS-41-G","Challenger","7","08d 05h","Kennedy","Earth Radiation Budget Satellite deployment First flight of two women in space, Sally Ride and Kathryn Sullivan First spacewalk by US woman, Sullivan First Canadian in space, Marc Garneau",""
"14","8 November 1984 12:15:00 UTC 07:15:00 EST","STS-51-A","Discovery","5","07d 23h","Kennedy","Multiple comsat deployments Retrieval of two other comsats (Palapa B2 and Westar VI), which were subsequently refurbished on Earth and reflown",""
"15","24 January 1985 19:50:00 UTC 14:50:00 EST","STS-51-C","Discovery","5","03d 01h","Kennedy","First classified Department of Defense (DoD) mission Magnum satellite deployment",""
"16","12 April 1985 13:59:05 UTC 08:59:05 EST","STS-51-D","Discovery","7","06d 23h","Kennedy","Multiple comsat deployments First flight of a sitting politician in space, Jake Garn First impromptu Extravehicular activity of program to fix Syncom F3 (Leasat 3)",""
"17","29 April 1985 16:02:18 UTC 12:02:18 EDT","STS-51-B","Challenger","7","07d 00h","Edwards","First mission with Spacelab module in a fully operational configuration Conducted experiments in microgravity",""
"18","17 June 1985 11:33:00 UTC 07:33:00 EDT","STS-51-G","Discovery","7","07d 01h","Edwards","Multiple comsat deployments Flight of first member of royalty, Saudi, Muslim, and Arab in space, Sultan bin Salman Al Saud",""
"19","29 July 1985 22:00:00 UTC 18:00:00 EDT","STS-51-F","Challenger","7","07d 22h","Edwards","Spacelab mission Abort to Orbit. Faulty temperature sensor incorrectly indicated that fuel turbine discharge temperature exceeded the limit. Therefore, one main engine was shut down at T+345 s, resulting in a much lower orbit than planned. All mission objectives achieved",""
"20","27 August 1985 10:58:01 UTC 06:58:01 EDT","STS-51-I","Discovery","5","07d 02h","Edwards","Multiple comsat deployments Rescue of Syncom F3 (Leasat-3)",""
"21","3 October 1985 15:15:30 UTC 11:15:30 EDT","STS-51-J","Atlantis","5","04d 01h","Edwards","Second classified DoD mission Defense Satellite Communications System satellite deployment First flight of Atlantis",""
"22","30 October 1985 17:00:00 UTC 12:00:00 EST","STS-61-A","Challenger","8","07d 00h","Edwards","Largest crew on a spaceflight Third flight of Spacelab Spacelab-D1 microgravity experiments Mission funded by Germany Last successful mission of Challenger First Dutchman in space, Wubbo Ockels",""
"23","26 November 1985 24:29:00 UTC 19:29:00 EST","STS-61-B","Atlantis","7","06d 21h","Edwards","Multiple comsat deployment EASE/ACCESS experiment First Mexican in space, Rodolfo Neri Vela",""
"24","12 January 1986 11:55:00 UTC 06:55:00 EST","STS-61-C","Columbia","7","06d 02h","Edwards","Comsat deployment Flight of US Representative Bill Nelson",""
"25","28 January 1986 16:38:00 UTC 11:38:00 EST","STS-51-L","Challenger","7","00d 00h 01m 13s","Did not land [b]","Planned tracking and data relay satellite deployment Loss of vehicle and crew Teacher in space flight",""
"26","29 September 1988 15:37:00 UTC 11:37:00 EDT","STS-26R","Discovery","5","04d 01h","Edwards","Tracking and data relay satellite deployment First post-Challenger flight",""
"27","2 December 1988 14:30:34 UTC 09:30:34 EST","STS-27R","Atlantis","5","04d 09h","Edwards","Third classified DoD mission Lacrosse 1 deployment",""
