No.,Spacecraft - ISS flight number,Country,Launch date (UTC) (yyyy mm dd),Launch time (UTC) (hh:mm:ss),"Duration (Docked) (000 days, 00 h, 00 min)",Deorbit (yyyy mm dd)
001,Zarya - ISS-1A/R,Russia/United States,1998 11 20,06:40:00,first module of ISS,first module of ISS
002,Zvezda - ISS-1R,Russia,2000 07 12,04:56:00,attached to ISS,attached to ISS
003,Progress M1-3 - ISS-1P,Russia,2000 08 06,18:26:00,"084 days, 07 h, 51 min",2000 11 01
004,Progress M1-4[4] - ISS-2P,Russia,2000 11 16,01:32:00,"013 days, 12 h, 35 min",2001 02 08
005,Progress M1-4[4] - ISS-2P,Russia,2000 11 16,01:32:00,"044 days, 00 h, 23 min",2001 02 08
006,Progress M-44 - ISS-3P,Russia,2001 02 26,08:09:00,"046 days, 22 h, 58 min",2001 04 16
007,Progress M1-6 - ISS-4P,Russia,2001 05 20,22:32:00,"091 days, 05 h, 38 min",2001 08 22
008,Progress M-45 - ISS-5P,Russia,2001 08 21,09:24:00,"091 days, 06 h, 21 min",2001 11 22
009,Pirs - ISS-4R,Russia,2001 09 14,23:35:00,attached to ISS,attached to ISS
010,Progress M-SO1 - ISS-4R,Russia,2001 09 14,23:35:00,"009 days, 14 h, 31 min",2001 09 26
011,Progress M1-7 - ISS-6P,Russia,2001 11 26,18:24:00,"110 days, 22 h, 00 min",2002 03 20
012,Progress M1-8 - ISS-7P,Russia,2002 03 21,20:13:00,"092 days, 11 h, 29 min",2002 06 25
013,Progress M-46 - ISS-8P,Russia,2002 06 26,05:36:00,"087 days, 07 h, 36 min",2002 10 14
014,Progress M1-9 - ISS-9P,Russia,2002 09 25,16:58:00,"124 days, 23 h, 00 min",2003 02 01
015,Progress M-47 - ISS-10P,Russia,2003 02 02,12:59:00,"205 days, 07 h, 59 min",2003 08 28
016,Progress M1-10 - ISS-11P,Russia,2003 06 08,10:34:00,"085 days, 08 h, 26 min",2003 10 03
017,Progress M-48 - ISS-12P,Russia,2003 08 29,01:48:00,"150 days, 04 h, 55 min",2004 01 28
018,Progress M1-11 - ISS-13P,Russia,2004 01 29,11:58:00,"113 days, 20 h, 06 min",2004 06 03
019,Progress M-49 - ISS-14P,Russia,2004 05 25,12:34:00,"063 days, 16 h, 11 min",2004 07 30
020,Progress M-50 - ISS-15P,Russia,2004 08 11,05:03:00,"130 days, 13 h, 34 min",2004 12 22
021,Progress M-51 - ISS-16P,Russia,2004 12 23,22:19:00,"063 days, 16 h, 09 min",2005 03 09
022,Progress M-52 - ISS-17P,Russia,2005 02 28,19:09:00,"106 days, 01 h, 05 min",2005 06 16
023,Progress M-53 - ISS-18P,Russia,2005 06 16,23:09:00,"080 days, 05 h, 41 min",2005 09 07
024,Progress M-54 - ISS-19P,Russia,2005 09 08,09:08:00,"173 days, 23 h, 24 min",2006 03 03
025,Progress M-55 - ISS-20P,Russia,2005 12 21,18:38:00,"177 days, 18 h, 21 min",2006 06 19
026,Progress M-56 - ISS-21P,Russia,2006 04 24,16:03:00,"145 days, 06 h, 47 min",2006 09 19
